"host_state";"host";"host_icons";"num_services_ok";"num_services_warn";"num_services_unknown";"num_services_crit";"num_services_pending";"sitealias"
"UP";"sw-SABNEW";"NOT_CSV_EXPORTABLE";"7";"1";"0";"2";"0";"PSU HDY"
"UP";"sw-sec1";"NOT_CSV_EXPORTABLE";"1";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-shsri2";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-staff1";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-staff2";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-staff2_r206";"NOT_CSV_EXPORTABLE";"20";"1";"0";"2";"0";"PSU HDY"
"UP";"sw-staff3";"NOT_CSV_EXPORTABLE";"23";"1";"0";"0";"0";"PSU HDY"
"UP";"sw-student";"NOT_CSV_EXPORTABLE";"1";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-student-rec";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-student-rec1";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-swimming";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw_fl9_4200g";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-bic";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-bic-guest";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-fl1-lrc";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-fl11s-lrcs";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-fl1002-lrcs";"NOT_CSV_EXPORTABLE";"23";"0";"0";"4";"0";"PSU HDY"
"UP";"swp-med-pnu";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-project-lrcs";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-rdo1";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-rdo7";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-reg-adm";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp-SHRI";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"swp_med_tech1";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"taurus";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"teams.microsoft.com";"NOT_CSV_EXPORTABLE";"2";"0";"0";"0";"0";"PSU HDY"
"UP";"Temp-SIS-7";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
"UP";"Temp-SIS-8";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
"UP";"Temp-SIS-API-7";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
"UP";"Temp-SIS-API-8";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
